Hücre #,Bir,ve,Ki,ve2,Hedef,Step,Leap,Rep,Q
1,2,,,,1,1,0,0,1
2,5,,,,1,0,1,0,1
3,7,,,,1,1,0,0,1
4,5l,,,,1,0,1,0,1
5,5,,,2,1,1,1,0,2
6,5,,,3,1,0,2,0,2
7,5,,,7,1,1,1,0,2
8,5,,2,,1,1,1,0,2
9,5,,3,,1,0,2,0,2
10,5,,7,,1,1,1,0,2
11,5l,,,7,1,1,1,0,2
12,5l,,7,,1,1,1,0,2
13,5l,,,2,1,1,1,0,2
14,5l,,2,,1,1,1,0,2
15,2,,,3,1,1,1,0,2
16,2,,,5,1,0,2,0,2
17,2,,,7,1,1,1,0,2
18,2,,3,,1,1,1,0,2
19,2,,5,,1,0,2,0,2
20,2,,7,,1,1,1,0,2
21,7,,,1,1,1,0,1,2
22,7,,,2,1,1,1,0,2
23,7,,1,,1,1,0,1,2
24,7,,2,,1,1,1,0,2
25,5,,4,2,1,2,1,0,3
26,5,,4,3,1,2,1,0,3
27,5,,3,2,1,2,1,0,3
28,5,,2,7,1,1,2,0,3
29,5,,1,7,1,1,1,0,2
30,5,4,2,,1,2,1,0,3
31,5,4,3,,1,2,1,0,3
32,5,3,2,,1,2,1,0,3
33,5,2,7,,1,1,2,0,3
34,5,1,7,,1,2,1,0,3
35,5l,,6l,7,1,3,0,0,3
36,5l,6l,7,,1,3,0,0,3
37,5l,,7,1,1,1,1,0,2
38,5l,,7,2,1,1,2,0,3
39,5l,7,2,,1,1,2,0,3
40,5l,,7,5l,1,0,3,0,3
41,2,,3,5,1,1,2,0,3
42,2,,4,5,1,1,2,0,3
43,2,,5,3,1,0,3,0,3
44,2,,5,2,1,1,2,0,3
45,2,,1,7,1,3,0,0,3
46,2,,3,7,1,2,1,0,3
47,2,,5l,7,1,1,2,0,3
48,2,,3,2,1,3,0,0,3
49,2,,7,5l,1,0,3,0,3
50,2,7,5l,,1,0,3,0,3
51,2,3,2,,1,0,0,0,0
52,2,3,5,,1,1,2,0,3
53,2,4,5,,1,1,3,0,4
54,2,5,3,,1,0,3,0,3
55,2,5,2,,1,1,2,0,3
56,2,1,7,,1,3,0,0,3
57,2,3,7,,1,2,1,0,3
58,2,5l,7,,1,1,2,0,3
59,7,,1,7,1,3,0,0,3
60,7,,1,2,1,3,0,0,3
61,7,,1,3,1,1,2,0,3
62,7,,1,5,1,1,2,0,3
63,7,,6,5l,1,1,2,0,3
64,7,,5l,7,1,1,2,0,3
65,7,,6,7,1,2,1,0,3
66,7,,2,3,1,2,1,0,3
67,7,,2,7,1,1,2,0,3
68,7,,2,5,1,0,3,0,3
69,7,,2,1,1,1,1,1,3
70,7,,3,2,1,2,1,0,3
71,7,1,7,,1,3,0,0,3
72,7,1,2,,1,3,0,0,3
73,7,1,3,,1,1,2,0,3
74,7,1,5,,1,1,2,0,3
75,7,6,5l,,1,2,1,0,3
76,7,5l,7,,1,1,2,0,3
77,7,6,7,,1,3,0,0,3
78,7,2,3,,1,1,2,0,3
79,7,2,7,,1,1,2,0,3
80,7,2,5,,1,0,3,0,3
81,7,2,1,,1,1,1,1,3
82,7,3,2,,1,2,1,0,3
83,5,4,3,2,1,4,0,0,4
84,5,6,5,3,1,2,2,0,4
85,5,6,5,2,1,3,1,0,4
86,5,3,2,3,1,2,2,0,4
87,5,3,2,5,1,1,3,0,4
88,5,3,1,2,1,2,2,0,4
89,5,3,1,3,1,0,4,0,4
90,5,4,3,7,1,3,1,0,4
91,5,1,2,3,1,2,2,0,4
92,5,1,2,7,1,3,1,0,4
93,2,3,4,5,1,3,1,0,4
94,2,3,2,7,1,3,1,0,4
95,2,3,2,5,1,2,2,0,4
96,2,3,4,3,1,3,1,0,4
97,2,3,4,2,1,3,1,0,4
98,2,1,7,1,1,4,0,0,4
99,2,7,1,2,1,3,1,0,4
100,2,1,2,3,1,3,1,0,4
101,2,1,3,5,1,1,3,0,4
102,2,3,2,1,1,3,0,1,4
103,2,5,4,2,1,2,2,0,4
104,2,5,3,2,1,2,2,0,4
105,2,5,4,3,1,1,3,0,4
106,2,5,3,7,1,1,3,0,4
107,2,5,2,7,1,1,3,0,4
108,7,5,6,7,1,3,1,0,4
109,7,5,7,1,1,1,2,1,4
110,7,5,7,2,1,1,3,0,4
111,7,6,7,1,1,3,0,1,4
112,7,6,7,2,1,3,1,0,4
113,7,1,2,1,1,3,0,1,4
114,7,1,2,3,1,3,1,0,4
115,7,2,1,7,1,3,1,0,4
116,7,2,5,3,1,0,4,0,4
117,7,2,5,2,1,1,3,0,4
118,7,2,5,1,1,0,3,1,4
119,5l,6l,7,1,1,3,0,1,4
120,5l,7,1,2,1,3,1,0,4
121,5l,6l,3,2,1,3,1,0,4
122,5l,6l,7,2,1,3,1,0,4
123,5l,1,7,1,1,2,1,1,4
124,5l,1,7,2,1,2,2,0,4
125,5l,7,3,2,1,2,2,0,4
126,5l,6l,7,3,1,2,2,0,4
127,5l,6l,5l,7,1,3,1,0,4
