Hücre #,Bir,ve,Ki,ve2,Hedef,Step,Leap,Rep,Q
1,5l,,,,1,0,1,0,1
2,6l,,,,1,0,1,0,1
3,7,,,,1,1,0,0,1
4,1,,,,1,0,0,1,1
5,2,,,,1,1,0,0,1
6,3,,,,1,0,1,0,1
7,4,,,,1,0,1,0,1
8,5,,,,1,0,1,0,1
9,,,5l,,1,0,1,0,1
10,,,6l,,1,0,1,0,1
11,,,7,,1,1,0,0,1
12,,,1,,1,0,0,1,1
13,,,2,,1,1,0,0,1
14,,,3,,1,0,1,0,1
15,,,4,,1,0,1,0,1
16,,,5,,1,0,1,0,1
17,5l,,,,2,0,1,0,1
18,6l,,,,2,0,1,0,1
19,7,,,,2,0,1,0,1
20,1,,,,2,1,0,0,1
21,2,,,,2,0,0,1,1
22,3,,,,2,1,0,0,1
23,5,,,,2,0,1,0,1
24,,,5l,,2,0,1,0,1
25,,,6l,,2,0,1,0,1
26,,,7,,2,0,1,0,1
27,,,1,,2,1,0,0,1
28,,,2,,2,0,0,1,1
29,,,3,,2,1,0,0,1
30,,,5,,2,0,1,0,1
31,6l,,,,3,0,1,0,1
32,1,,,,3,0,1,0,1
33,2,,,,3,1,0,0,1
34,3,,,,3,0,0,1,1
35,4,,,,3,1,0,0,1
36,5,,,,3,0,1,0,1
37,6,,,,3,0,1,0,1
38,,,6l,,3,0,1,0,1
39,,,1,,3,0,1,0,1
40,,,2,,3,1,0,0,1
41,,,3,,3,0,0,1,1
42,,,4,,3,0,0,1,1
43,,,5,,3,0,1,0,1
44,,,6,,3,0,1,0,1
45,1,,,,4,0,1,0,1
46,2,,,,4,0,1,0,1
47,3,,,,4,1,0,0,1
48,4,,,,4,0,0,1,1
49,5,,,,4,1,0,0,1
50,6,,,,4,0,1,0,1
51,,,1,,4,0,1,0,1
52,,,2,,4,0,1,0,1
53,,,3,,4,1,0,0,1
54,,,4,,4,0,0,1,1
55,,,5,,4,1,0,0,1
56,,,6,,4,0,1,0,1
57,1,,,,5,0,1,0,1
58,2,,,,5,0,1,0,1
59,3,,,,5,0,1,0,1
60,4,,,,5,1,0,0,1
61,5,,,,5,0,0,1,1
62,6,,,,5,1,0,0,1
63,,,1,,5,0,1,0,1
64,,,2,,5,0,1,0,1
65,,,3,,5,0,1,0,1
66,,,4,,5,0,1,0,1
67,,,5,,5,0,0,1,1
68,,,6,,5,1,0,0,1
69,6,,,,6,0,0,1,1
70,5,,,,6,1,0,0,1
71,4,,,,6,0,1,0,1
72,3,,,,6,0,1,0,1
73,2,,,,6,0,1,0,1
74,,,6,,6,0,0,1,1
75,,,5,,6,1,0,0,1
76,,,4,,6,0,1,0,1
77,,,3,,6,0,1,0,1
78,,,2,,6,0,1,0,1
79,1,,,,7,1,0,0,1
80,2,,,,7,0,1,0,1
81,3,,,,7,0,1,0,1
82,7,,,,7,0,0,1,1
83,6l,,,,7,1,0,0,1
84,5l,,,,7,0,1,0,1
85,,,1,,7,1,0,0,1
86,,,2,,7,0,1,0,1
87,,,3,,7,0,1,0,1
88,,,7,,7,0,0,1,1
89,,,6l,,7,1,0,0,1
90,,,5l,,7,0,1,0,1
91,1,,,,6l,0,1,0,1
92,7,,,,6l,1,0,0,1
93,6l,,,,6l,0,0,1,1
