Hücre #,Bir,ve,Ki,ve2,Hedef,Step,Leap,Rep,Q
1,1,,,,1,0,0,1,1
2,1,,,,2,1,0,0,1
3,1,,,,3,0,1,0,1
4,1,,,,4,0,1,0,1
5,1,,,,5,0,1,0,1
6,1,,,,6,0,1,0,1
7,1,,,,7,1,0,0,1
8,1,,,,6l,0,1,0,1
9,1,,,,5l,0,1,0,1
10,1,,,1,1,0,0,2,2
11,1,,,2,1,2,0,0,2
12,1,,,3,1,0,2,0,2
13,1,,,4,1,0,2,0,2
14,1,,,5,1,0,2,0,2
15,1,,,7,1,2,0,0,2
16,1,,,6l,1,0,2,0,2
17,1,,,5l,1,0,2,0,2
18,1,,1,,1,0,0,2,2
19,1,,2,,1,2,0,0,2
20,1,,3,,1,0,2,0,2
21,1,,4,,1,0,2,0,2
22,1,,5,,1,0,2,0,2
23,1,,7,,1,2,0,0,2
24,1,,6l,,1,0,2,0,2
25,1,,5l,,1,0,2,0,2
26,1,,,1,2,1,0,1,2
27,1,,,2,2,1,0,1,2
28,1,,,3,2,1,1,0,2
29,1,,,7,2,1,1,0,2
30,1,,1,,2,1,0,1,2
31,1,,2,,2,1,0,1,2
32,1,,3,,2,1,1,0,2
33,1,,7,,2,1,1,0,2
34,1,,,1,3,0,1,1,2
35,1,,,2,3,2,0,0,2
36,1,,,3,3,0,1,1,2
37,1,,,4,3,1,1,0,2
38,1,,,5,3,0,2,0,2
39,1,,1,,3,0,1,1,2
40,1,,2,,3,2,0,0,2
41,1,,3,,3,0,1,1,2
42,1,,4,,3,1,1,0,2
43,1,,5,,3,0,2,0,2
44,1,,,1,4,0,1,1,2
45,1,,,2,4,1,1,0,2
46,1,,,3,4,1,1,0,2
47,1,,,4,4,0,1,1,2
48,1,,,5,4,1,1,0,2
49,1,,1,,4,0,1,1,2
50,1,,2,,4,1,1,0,2
51,1,,3,,4,1,1,0,2
52,1,,4,,4,0,1,1,2
53,1,,5,,4,1,1,0,2
54,1,,,3,5,0,2,0,2
55,1,,,5,5,0,1,1,2
56,1,,,4,5,1,1,0,2
57,1,,3,,5,0,2,0,2
58,1,,5,,5,0,1,1,2
59,1,,4,,5,1,1,0,2
60,1,,,1,7,1,0,1,2
61,1,,,2,7,1,1,0,2
62,1,,,3,7,0,2,0,2
63,1,,,7,7,1,0,1,2
64,1,,,6l,7,1,1,0,2
65,1,,,5l,7,0,2,0,2
66,1,,1,,7,1,0,1,2
67,1,,2,,7,1,1,0,2
68,1,,3,,7,0,2,0,2
69,1,,7,,7,1,0,1,2
70,1,,6l,,7,1,1,0,2
71,1,,5l,,7,0,2,0,2
72,1,,,3,6,0,2,0,2
73,1,,,4,6,0,2,0,2
74,1,,,5,6,1,1,0,2
75,1,,3,,6,0,2,0,2
76,1,,4,,6,0,2,0,2
77,1,,5,,6,1,1,0,2
78,1,,,1,6l,0,1,1,2
79,1,,,7,6l,2,0,0,2
80,1,,,6l,6l,0,1,1,2
81,1,,,5l,6l,1,1,0,2
82,1,,1,,6l,0,1,1,2
83,1,,7,,6l,2,0,0,2
84,1,,6l,,6l,0,1,1,2
85,1,,5l,,6l,1,1,0,2
86,1,,,1,5l,0,1,1,2
87,1,,,7,5l,1,1,0,2
88,1,,,5l,5l,0,1,1,2
89,1,,1,,5l,0,1,1,2
90,1,,7,,5l,1,1,0,2
91,1,,5l,,5l,0,1,1,2
92,1,,1,2,1,2,0,1,3
93,1,,1,3,1,0,2,1,3
94,1,,1,5,1,2,0,1,3
95,1,,1,7,1,2,0,1,3
96,1,,1,6l,1,0,2,1,3
97,1,,1,5l,1,0,2,1,3
98,1,,2,1,1,2,0,1,3
99,1,,2,3,1,2,1,0,3
100,1,,2,5,1,1,2,0,3
